Tier,Rank,Champion Name,Lane,Win Rate,Pick Rate,Ban Rate,Play Count
Platinum,1,미스 포츈,바텀,53.99%,23.65%,47.80%,"495,304"
Platinum,2,녹턴,정글,52.63%,10.94%,19.01%,"229,182"
Platinum,3,리 신,정글,49.74%,26.41%,35.41%,"553,026"
Platinum,4,말자하,미드,52.93%,5.27%,4.71%,"110,277"
Platinum,5,비에고,정글,50.60%,17.17%,14.48%,"359,595"
Platinum,6,다리우스,탑,50.82%,9.10%,24.71%,"190,563"
Platinum,7,모데카이저,탑,51.84%,6.67%,7.12%,"139,665"
Platinum,8,세트,미드,54.27%,0.63%,2.84%,"13,117"
Platinum,9,다이애나,정글,52.50%,8.54%,2.09%,"178,782"
Platinum,10,제라스,서폿,51.55%,8.38%,26.90%,"175,526"
Platinum,11,갈리오,미드,51.32%,7.69%,5.39%,"161,112"
Platinum,12,세트,탑,51.21%,8.24%,2.84%,"172,500"
Platinum,13,자이라,서폿,52.63%,4.39%,3.44%,"91,950"
Platinum,14,룰루,서폿,50.71%,11.66%,9.87%,"244,114"
Platinum,15,가렌,탑,50.86%,8.68%,4.01%,"181,721"
Platinum,16,요릭,탑,52.74%,3.82%,6.24%,"80,069"
Platinum,17,오공,정글,51.72%,7.00%,3.84%,"146,651"
Platinum,18,티모,탑,51.32%,6.39%,20.43%,"133,735"
Platinum,19,워윅,탑,52.90%,3.09%,12.35%,"64,760"
Platinum,20,럭스,서폿,50.03%,14.40%,14.41%,"301,625"
Platinum,21,이렐리아,미드,51.79%,4.21%,31.43%,"88,121"
Platinum,22,워윅,정글,51.82%,5.44%,12.35%,"113,965"
Platinum,23,베이가,미드,52.06%,3.07%,1.16%,"64,325"
Platinum,24,카르마,서폿,50.77%,8.75%,4.92%,"183,189"
Platinum,25,모르가나,서폿,51.22%,7.23%,13.22%,"151,402"
Platinum,26,징크스,바텀,50.87%,17.96%,3.65%,"376,176"
Platinum,27,멜,미드,50.04%,10.81%,65.36%,"226,319"
Platinum,28,신 짜오,정글,51.08%,7.01%,1.98%,"146,728"
Platinum,29,가렌,미드,53.09%,1.05%,4.01%,"21,999"
Platinum,30,제라스,미드,51.38%,4.27%,26.90%,"89,491"
Platinum,31,빅토르,미드,49.95%,9.24%,20.44%,"193,438"
Platinum,32,렐,서폿,51.60%,4.54%,3.09%,"95,147"
Platinum,33,오른,탑,51.68%,3.35%,0.42%,"70,139"
Platinum,34,닐라,바텀,53.40%,0.94%,0.91%,"19,765"
Platinum,35,신드라,미드,51.38%,4.02%,1.91%,"84,176"
Platinum,36,애니비아,미드,52.17%,1.32%,0.60%,"27,643"
Platinum,37,아트록스,탑,49.90%,7.23%,7.69%,"151,494"
Platinum,38,쉬바나,정글,52.58%,1.89%,0.40%,"39,595"
Platinum,39,브라이어,정글,51.84%,3.39%,1.37%,"71,077"
Platinum,40,레넥톤,미드,52.65%,0.58%,3.40%,"12,041"
Platinum,41,나피리,미드,52.58%,1.26%,0.84%,"26,307"
Platinum,42,마오카이,서폿,51.68%,3.79%,2.84%,"79,465"
Platinum,43,릴리아,정글,51.37%,4.89%,3.31%,"102,486"
Platinum,44,바이,정글,50.23%,8.35%,2.22%,"174,788"
Platinum,45,브라움,서폿,51.53%,4.06%,2.49%,"84,954"
Platinum,46,쓰레쉬,서폿,50.01%,10.09%,3.89%,"211,223"
Platinum,47,샤코,서폿,51.86%,2.14%,46.20%,"44,793"
Platinum,48,레오나,서폿,50.38%,7.60%,9.25%,"159,159"
Platinum,49,시비르,바텀,51.70%,4.91%,1.21%,"102,792"
Platinum,50,우르곳,탑,52.01%,1.58%,0.35%,"33,071"
Platinum,51,카시오페아,미드,51.20%,3.41%,10.01%,"71,345"
Platinum,52,초가스,미드,52.28%,0.67%,0.28%,"14,117"
Platinum,53,하이머딩거,탑,52.19%,1.96%,4.09%,"41,131"
Platinum,54,라이즈,미드,51.42%,1.94%,0.56%,"40,712"
Platinum,55,볼리베어,탑,50.99%,3.61%,4.04%,"75,670"
Platinum,56,말파이트,탑,50.94%,5.37%,5.66%,"112,446"
Platinum,57,문도 박사,탑,51.38%,3.69%,1.70%,"77,361"
Platinum,58,아무무,정글,50.77%,4.99%,1.10%,"104,439"
Platinum,59,질리언,서폿,51.99%,1.66%,0.32%,"34,837"
Platinum,60,탈론,미드,50.29%,3.33%,1.20%,"69,780"
Platinum,61,스웨인,바텀,52.66%,0.63%,2.77%,"13,096"
Platinum,62,타릭,서폿,52.74%,0.72%,0.11%,"15,011"
Platinum,63,흐웨이,미드,50.10%,5.44%,5.30%,"113,957"
Platinum,64,아칼리,미드,49.49%,9.93%,10.85%,"207,875"
Platinum,65,이렐리아,탑,50.96%,4.52%,31.43%,"94,685"
Platinum,66,멜,바텀,51.48%,1.87%,65.36%,"39,219"
Platinum,67,뽀삐,서폿,51.22%,3.14%,5.75%,"65,782"
Platinum,68,마스터 이,정글,50.08%,6.85%,5.32%,"143,386"
Platinum,69,신지드,탑,52.26%,1.24%,0.35%,"25,947"
Platinum,70,피들스틱,서폿,52.62%,0.76%,0.60%,"15,986"
Platinum,71,야스오,미드,49.63%,9.23%,15.87%,"193,185"
Platinum,72,요네,미드,49.18%,11.68%,13.08%,"244,617"
Platinum,73,나미,서폿,51.24%,3.12%,0.37%,"65,260"
Platinum,74,멜,서폿,50.33%,4.74%,65.36%,"99,178"
Platinum,75,진,바텀,50.03%,14.85%,2.94%,"310,889"
Platinum,76,샤코,정글,50.27%,4.66%,46.20%,"97,498"
Platinum,77,제이스,탑,49.17%,8.77%,8.65%,"183,700"
Platinum,78,벨코즈,서폿,51.36%,2.23%,0.44%,"46,795"
Platinum,79,블라디미르,미드,51.10%,2.00%,1.16%,"41,973"
Platinum,80,럭스,미드,50.30%,3.32%,14.41%,"69,455"
Platinum,81,애니,미드,51.42%,1.04%,0.24%,"21,738"
Platinum,82,이즈리얼,바텀,49.21%,33.58%,12.64%,"703,208"
Platinum,83,아리,미드,49.59%,8.12%,1.84%,"169,950"
Platinum,84,갱플랭크,탑,50.49%,3.41%,1.75%,"71,465"
Platinum,85,말파이트,미드,51.57%,1.39%,5.66%,"29,133"
Platinum,86,브랜드,서폿,51.30%,2.41%,1.10%,"50,568"
Platinum,87,베인,바텀,50.95%,4.71%,2.84%,"98,726"
Platinum,88,트런들,정글,51.37%,1.32%,1.23%,"27,668"
Platinum,89,나르,탑,50.30%,3.38%,1.23%,"70,713"
Platinum,90,사이온,탑,51.50%,2.38%,0.33%,"49,818"
Platinum,91,사일러스,미드,48.89%,13.52%,17.54%,"283,013"
Platinum,92,세주아니,정글,50.65%,3.44%,0.41%,"71,947"
Platinum,93,케일,탑,51.16%,2.06%,0.55%,"43,196"
Platinum,94,리산드라,미드,50.58%,2.20%,0.52%,"45,994"
