티어,닉네임,주챔피언,게임횟수,승률,포지션,포지션게임횟수
platinum,초현식근동이물 #KR1,제드,17 게임,41 %,미드,27
platinum,매우라 #5838,아크샨,5 게임,80 %,미드,6
platinum,Dancin #kr2,이즈리얼,4 게임,75 %,원딜,7
platinum,Namy000n #5111,제드,10 게임,80 %,미드,10
platinum,Fly over you #wing,빅토르,6 게임,67 %,원딜,17
platinum,응우엔 #땅 굴,세트,113 게임,59 %,탑,120
platinum,스물다섯번째밤 #8152,라이즈,19 게임,79 %,미드,26
platinum,군포 최고 도구 #KR1,파이크,3 게임,67 %,서폿,9
platinum,광주교도소 살인미수 7년복역 #KR1,하이머딩거,17 게임,59 %,탑,65
platinum,박단순 #KR1,그웬,5 게임,80 %,탑,7
platinum,鏡花水月 #白 豹,소라카,287 게임,49 %,서폿,290
platinum,qweasdzxcqweas #kr11,피오라,61 게임,69 %,탑,128
platinum,징 푸 #KR1,제드,12 게임,75 %,미드,19
platinum,Jun #zio,조이,14 게임,71 %,미드,21
platinum,더미친놈 #019,갈리오,1 게임,100 %,미드,9
platinum,멍창희 #KR1,카르마,9 게임,78 %,서폿,20
platinum,adgsdg #KR1,신 짜오,3 게임,67 %,탑,11
platinum,뱍치기굥룡 #777,리 신,11 게임,64 %,정글,32
platinum,선자불래 내자불선 #kr0,우르곳,1 게임,100 %,서폿,4
platinum,황색비둘기 #KR1,징크스,4 게임,100 %,원딜,7
platinum,Viper #asdkq,이즈리얼,5 게임,40 %,원딜,19
platinum,제우스 #전기공학과,요네,22 게임,32 %,정글,53
platinum,디 유 #지 유,룰루,5 게임,80 %,서폿,8
platinum,나데리고지면니탓 #KR1,카서스,1 게임,100 %,정글,5
platinum,내머리는 누가딸래 #429,에코,9 게임,56 %,미드,13
platinum,Blue #KR7,이즈리얼,5 게임,80 %,정글,12
platinum,박지훈 #박지훈,파이크,37 게임,49 %,서폿,44
platinum,sippin lean #KR1,미스 포츈,5 게임,20 %,원딜,17
platinum,P o t a t o #감자국요정,쓰레쉬,39 게임,46 %,서폿,111
platinum,동둥이최고 #0926,렐,8 게임,38 %,서폿,30
platinum,정글차나면대충함 #KR1,이렐리아,1 게임,0 %,미드,5
platinum,미워도 다시 한번 #KR02,리 신,19 게임,68 %,미드,45
platinum,근태식 #T1WIN,아리,17 게임,53 %,미드,33
platinum,항상화난다 #KR1,카타리나,9 게임,67 %,미드,9
platinum,수 아 #625,이즈리얼,2 게임,100 %,원딜,3
platinum,난 최선을 다했어 #123,리 신,3 게임,67 %,정글,5
